date,id,text,prediction,hashtags
2020-07-17,1284237771817836544,"@sebastiankurz Sie müssen standhaft bleiben. Die #schuldenunion wäre ein Dammbruch, der ins Verderben führen würde. Der extreme Zentralismus in #Brussels hat nichts mehr mit effizienter Steuerung zu tun.",1,"['schuldenunion', 'brussels']"
2020-07-17,1284051703990554624,"@threadreaderapp @mtmalinen @grantvickers7 Excellent stuff! Just how I see #recoveryfund RFF, it's a scam. Politics behind is to centralize EU's decision making to the hands of Paris and Berlin. #Federation won't work and it'll collapse in a decade with a mess not seen since WWII.

 #integration #debtunion",2,"['recoveryfund', 'federation', 'integration', 'debtunion']"
2020-07-17,1284204454435262466,"@markuspreiss Naja, mit leerem Magen lässt sich die Einführung von #Eurobonds auch schlecht beschließen. Denn nichts anderes als die Einführung einer Haftung der wirtschaftlich starken Länder für die Schulden der anderen ist Gegenstand des #EUCO-Gipfels.",2,"['eurobonds', 'euco']"
2020-07-17,1284238190690406402,"""Der „Next Generation Fund“ ist kein ungarischer Vorschlag, es ist ein Schritt, mit dem sich die Union erstmals gemeinsam verschuldet"" schreibt #Ungarn s Staatssekretärin für Familie. Also doch. #Eurobonds, die es laut Kanzlerin Fer... äh #Merkel nie geben sollte. Happy birthday! https://twitter.com/KatalinNovakMP/status/1283723241794797569",1,"['ungarn', 'eurobonds', 'merkel']"
2020-07-17,1284191600776818688,"@welt Toll! Uschi endlich im Focus der Weltöffentlichkeit &amp; ... nichts.
Nur Attitüde &amp; Phrasen!
Einfach furchtbar. Fremdschämen angesagt.
#vdLeyen 
#IBuK
#Merkel
#ERP
#Eurobonds 
@vonderleyen 
#Euro",1,"['vdleyen', 'ibuk', 'merkel', 'erp', 'eurobonds', 'euro']"
2020-07-17,1284053250862350337,@EinAugenschmaus @RegSprecher Alles Gute zum Geburtstag 🎂 🎈 🎁 an unsere Frau Merkel. Sie hat sehr viel gemeistert. #Fluechtlingskrise #Bankenkrise #Eurokrise #ArabischerFrühling etc. Die #Coronakrise jedoch haben @Markus_Soeder @ManuelaSchwesig @OlafScholz @jensspahn u. @TschenPe  gemeistert.,1,"['fluechtlingskrise', 'bankenkrise', 'eurokrise', 'arabischerfrühling', 'coronakrise']"
2020-07-17,1284142114427809797,"@RegSprecher Es bedarf noch großer Kompromissbereitschaft , von #Merkel,  das sie auch die Meinung der EU- Länder akzeptiert, die nicht ihren Weg gehen werden. #EU ,#Eurobonds, #EU2020DE",1,"['merkel', 'eu', 'eurobonds', 'eu2020de']"
2020-07-17,1284042188721205248,Seh ich auch so. #MerkelMussWeg #Merkel #MerkelGate #Eurokrise #schuldenunion https://twitter.com/DrDavidBerger/status/1284022553586139136,1,"['merkelmussweg', 'merkel', 'merkelgate', 'eurokrise', 'schuldenunion']"
2020-07-17,1284217451018964999,@RegSprecher #Transferunion nein Danke.,1,['transferunion']
2020-07-17,1284133598992322560,"#EU #Coronakrise #Schuldenunion
Ich wüsste zu gerne, welche (€-) Geschenke unsere #Merkel den ""sparsamen Vier"" verspricht, damit sie den kreditlosen Zuschüssen von 500 Mrd.€ zustimmen. Natürlich verteilt sie wieder das Geld deutscher Steuerzahler, darin ist sie geübt.",1,"['eu', 'coronakrise', 'schuldenunion', 'merkel']"
2020-07-17,1284230785151762433,"Unsere zentrale Forderung ist, dass es nicht zu einer langfristigen #Schuldenunion kommen darf. Natürlich wollen wir solidarisch sein, aber wir haben auch die Interessen der österreichischen Steuerzahler im Blick.",0,['schuldenunion']
2020-07-17,1284145286433116161,"We, German conservatives, count on you Mr. Kurz.
No #Transferunion https://twitter.com/sebastiankurz/status/1284062752705843200",1,['transferunion']
2020-07-17,1284232115438211072,"@EUInterpreters Looking for new interpreters? Maybe look after the ""old"" ones too. #EUAid4interpreters #PracticeWhatEUPreach #EUSolidarity #Interpreting4EU",0,"['euaid4interpreters', 'practicewhateupreach', 'eusolidarity', 'interpreting4eu']"
2020-07-17,1284100959904440321,"We have the opportunity to accelerate the 🇪🇺 energy transition &amp; ensure a #GreenRecovery. As the lowest-cost &amp; most job-intensive energy, solar is uniquely positioned to lead the energy transition in EU &amp; combat climate change – @SolarWalburga

#RecoveryPlan #MFF #EUSolidarity",0,"['greenrecovery', 'recoveryplan', 'mff', 'eusolidarity']"
2020-07-17,1284049329519558656,"Mir ist es nicht verständlich wie lange man solche Ungleichgewichte aufrechterhalten kann.

#Wirtschaft #eurokrise #COVID__19 https://twitter.com/marcfriedrich7/status/1284005349683585024",2,"['wirtschaft', 'eurokrise', 'covid__19']"
2020-07-18,1284503571946450944,"Anders formuliert: Wir geben uns europäisch, aber eigentlich sind wir egoistische Nationalisten. #Kurz #Österreich #Schuldenunion #Solidarität #Konjunkturpaket #EU https://twitter.com/sebastiankurz/status/1284230785151762433",2,"['kurz', 'österreich', 'schuldenunion', 'solidarität', 'konjunkturpaket', 'eu']"
