id,date,text,label
1170405097941196800,Sat Sep 07 18:34:55 +0000 2019,"The #EUCivPro French firefighting team has arrived in Bolivia, ready to help the national teams fight the #Boliviafires. #EUSolidarity",1
1175866240600104961,Sun Sep 22 20:15:32 +0000 2019,"Eurobonds in Nigeria: What they are and how to invest in them


Simply put, #eurobonds are bonds that are denominated in a currency other than that of the issuer.


https://nairametrics.com/2019/09/20/eurobonds-in-nigeria-what-they-are-and-how-to-invest-in-them/",4
1176119140328837121,Mon Sep 23 13:00:28 +0000 2019,"📢📢Do you believe all young people should be able to experience the power of #storytelling and #reading regardless of status? 📚💕


Pop Up are extending our festival to #refugees, #asylumseekers and young #migrants. Launching 2020. Please #share and DM us for more information!",1
1215203888325963777,Thu Jan 09 09:29:19 +0000 2020,"Completely tragic that we have as a nation turned our back on all this. We are all diminished as a consequence. #EUSolidarity EC AV PORTAL – EC President Ursula VON DER LEYEN in London, UK https://audiovisual.ec.europa.eu/en/topnews/M-004027",1
1217237172937359361,Wed Jan 15 00:08:51 +0000 2020,@RiboGuy @KitchenChemProf The problem with increased number of applicants is that it becomes more difficult to get at least 3 reviewers to read them all in a timely manner. We had to ask for help from our faculty to get through nearly 200 applicants. #grexit,2
1218126487951495175,Fri Jan 17 11:02:41 +0000 2020,"📢New #publication!📢 ""Effects of the #RefugeeCrisis on Perceptions of #AsylumSeekers in Recipient Populations"" by our PhD candidate Lise Lund Bjånesøy has been published in the Journal of Refugee Studies!🎉 #publicopinion #immigration #polisci #survey #research",3
1218999264803606528,Sun Jan 19 20:50:47 +0000 2020,#Austerity against the free market in favor of a command economy &amp; turn the USA into the former USSR? https://twitter.com/BernieSanders/status/1218996450316734466,4
1219727726602543109,Tue Jan 21 21:05:26 +0000 2020,"Quick - there's not much time to email your MP to ensure child refugees can reunite with family. I just emailed my MP, do the same now. #scrap37 #refugeeswelcome  http://act.newmode.social/615936985t",1
1220022390291410945,Wed Jan 22 16:36:19 +0000 2020,"There Should Be No Hierarchy of Rights for Displaced Children 


#EuropeanUnion #France #Greece #HumanRights #Italy #Migration #OpenDemocracy #Racism #RefugeeCrisis #Refugees #RefugeesWelcome


https://redrevolution.co.uk/2020/01/22/there-should-be-no-hierarchy-of-rights-for-displaced-children/",1
1221440076305043459,Sun Jan 26 14:29:42 +0000 2020,"Increasingly in the UK you want to avoid getting sick or old. Or worse, getting sick and old. Where government fails should communities bebthw answer? #socialcare #Austerity


https://inews.co.uk/news/health/social-care-crisis-clarion-lunch-service-sheltered-accommodation-1375437",1
1221658598004133889,Mon Jan 27 04:58:01 +0000 2020,Fascist Alan meets a homeless man.   #poverty #foodbank #movie #austerity #povertyreduction #homelessness #homeless #disabled #universalcredit #StopMotion #FunniestTweets 5,4
1221726885832548353,Mon Jan 27 09:29:22 +0000 2020,"#NHS Right to Health:
- I do not need a fixed address
- I do not need identification
- My immigration status does not matter.
#homelessness #RefugeesWelcome #Windrush 
@MancMedact @Medact @DOTW_UK @manchesterdr @CornbrookMP @ArchMedical @WilmslowroadMC @rdpgp https://twitter.com/MMS_ethics/status/1220709058380017665",1
1222569372729868289,Wed Jan 29 17:17:07 +0000 2020,"@julie4nw @NowTheCitizens @janestevenson68 @TerryReintke @BritishinNL @BritsinGermany @PulseofEurope @RemainInFrance @PoEFrance @BRITISHinITALY @BremainInSpain @VIEgoEU @MaiaMazurkiewic @svizzeraeuropa @London4Europe @MollyMEP @catherinerowett @alexforeurope @Kira_MPH @SkaKeller @catherinemep @CarolineVoaden @IrinavonWiese @nicolabeerfdp @Pierre_Ka @JaneBrophyLD @RCorbettMEP @IratxeGarper @TimmermansEU @gabischoff @GrassrootsEU @SWYforEurope @NE4EU @SloughForEU @Liverpool4EU @OFOCBrexit @SODEMAction @Women_4_Europe @voiceseurope @Suewilson91 @nickynoo007 @spaceangel1964 @Europarl_EN @InLimboBrexit @Rally4OurRights @GuitarMoog @BrexpatsHOV @markuspreiss @europamagazin Oh Julie, where to start...
#austerity #Brexit #losinghope #Homeless #PMQs #Manchester #sendhelp",4
1200974201932386305,Sun Dec 01 03:05:37 +0000 2019,&gt;&gt;Männergruppe&lt;&lt; sonst null Infos... ➡️ Bedeutet🤔 #Wirschaffendas https://www.welt.de/vermischtes/article203943684/Maenner-fliegen-aus-Disco-und-kommen-mit-Waffen-zurueck.html,2
1201467257416749056,Mon Dec 02 11:44:51 +0000 2019,"Fascinating portrayal of how art can be an indispensable medium through which we can document the human experience of the #refugeecrisis...


... as well as an important reminder that the refugee crisis is not just a #European crisis, but touches all corners of the globe. https://twitter.com/UNHCRUSA/status/1201456428017422338",1
