id,date,label
1224635331611414529,2020-02-04 10:06:30+00:00,3.0
1209189625727725575,2019-12-23 19:10:47+00:00,1.0
1186318791187357703,2019-10-21 16:30:15+00:00,1.0
1243561073527029761,2020-03-27 15:30:38+00:00,0.0
1254707922753503232,2020-04-27 09:44:14+00:00,0.0
1198302823320051718,2019-11-23 18:10:31+00:00,0.0
1214573690572201984,2020-01-07 15:45:08+00:00,1.0
1219373096529989633,2020-01-20 21:36:15+00:00,3.0
1169761900889952256,2019-09-05 23:59:04+00:00,0.0
1178685458471161858,2019-09-30 14:58:06+00:00,3.0
1241692809578643457,2020-03-22 11:46:49+00:00,2.0
1243495523866349570,2020-03-27 11:10:10+00:00,2.0
1171448993190039552,2019-09-10 15:42:59+00:00,3.0
1230525031685533696,2020-02-20 16:10:04+00:00,3.0
1222159419242315776,2020-01-28 14:08:06+00:00,3.0
1244762399367979008,2020-03-30 23:04:17+00:00,1.0
1219661294682497025,2020-01-21 16:41:27+00:00,0.0
1189251466227343361,2019-10-29 18:43:39+00:00,2.0
1211667062994550784,2019-12-30 15:15:14+00:00,3.0
1203570836852166661,2019-12-08 07:03:43+00:00,1.0
1231887618297614337,2020-02-24 10:24:30+00:00,2.0
1219373096529989633,2020-01-20 21:36:15+00:00,3.0
1209000572248035328,2019-12-23 06:39:33+00:00,0.0
1169761900889952256,2019-09-05 23:59:04+00:00,0.0
1194989407645962240,2019-11-14 14:44:11+00:00,3.0
1259048948305715203,2020-05-09 09:13:55+00:00,3.0
1173621517755850753,2019-09-16 15:35:49+00:00,3.0
1191713772991385602,2019-11-05 13:47:59+00:00,3.0
1169244327345840128,2019-09-04 13:42:25+00:00,0.0
1171448993190039552,2019-09-10 15:42:59+00:00,3.0
1233283537761165312,2020-02-28 06:51:23+00:00,2.0
1172376475397308418,2019-09-13 05:08:28+00:00,1.0
1193572955911008257,2019-11-10 16:55:42+00:00,0.0
1256511167251599360,2020-05-02 09:09:41+00:00,0.0
1209189625727725575,2019-12-23 19:10:47+00:00,1.0
1197907914842882048,2019-11-22 16:01:17+00:00,3.0
1231633650183266312,2020-02-23 17:35:19+00:00,3.0
1266118388650332171,2020-05-28 21:25:21+00:00,0.0
1237791991137738752,2020-03-11 17:26:22+00:00,1.0
1245446279708229633,2020-04-01 20:21:47+00:00,0.0
1223616203387822080,2020-02-01 14:36:51+00:00,1.0
1245627979255799808,2020-04-02 08:23:47+00:00,3.0
1251539896055062529,2020-04-18 15:55:38+00:00,0.0
1168798927077945344,2019-09-03 08:12:34+00:00,1.0
1236183921781551105,2020-03-07 06:56:28+00:00,1.0
1186318791187357703,2019-10-21 16:30:15+00:00,1.0
1193939646037843968,2019-11-11 17:12:48+00:00,2.0
1258373692171653120,2020-05-07 12:30:42+00:00,0.0
1174188896382595073,2019-09-18 05:10:22+00:00,1.0
1260257991468687361,2020-05-12 17:18:14+00:00,0.0
1192012133275488257,2019-11-06 09:33:33+00:00,0.0
1237328630113501185,2020-03-10 10:45:08+00:00,2.0
1183335484040400898,2019-10-13 10:55:39+00:00,0.0
1176427506158788609,2019-09-24 09:25:49+00:00,2.0
1236152894136688647,2020-03-07 04:53:11+00:00,0.0
1237255096024653830,2020-03-10 05:52:56+00:00,1.0
1263754409265242112,2020-05-22 08:51:45+00:00,2.0
